Sir Harold,Kroto,GB,GB,male,1996,chemistry,3,University of Sussex,Brighton,United Kingdom,Oct,77,57
Richard E.,Smalley,US,US,male,1996,chemistry,3,Rice University,Houston TX,USA,Jun,62,53
Paul D.,Boyer,US,US,male,1997,chemistry,4,University of California,Los Angeles CA,USA,Jul,100,79
Jens C.,Skou,DK,DK,male,1997,chemistry,2,Aarhus University,Aarhus,Denmark,Oct,100,79
Walter,Kohn,AT,US,male,1998,chemistry,2,University of California,Santa Barbara CA,USA,Mar,93,75
John,Pople,GB,US,male,1998,chemistry,2,Northwestern University,Evanston IL,USA,Oct,79,73
Ahmed,Zewail,EG,US,male,1999,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,70,53
Emil,von Behring,PL,DE,male,1901,medicine,1,Marburg University,Marburg,Germany,Mar,63,47
Ronald,Ross,IN,GB,male,1902,medicine,1,University College,Liverpool,United Kingdom,May,75,45
Niels Ryberg,Finsen,DK,DK,male,1903,medicine,1,Finsen Medical Light Institute,Copenhagen,Denmark,Dec,44,43
Ivan,Pavlov,RU,RU,male,1904,medicine,1,Military Medical Academy,St. Petersburg,Russia,Sep,87,55
Robert,Koch,DE,DE,male,1905,medicine,1,Institute for Infectious Diseases,Berlin,Germany,Dec,67,62
Camillo,Golgi,IT,IT,male,1906,medicine,2,Pavia University,Pavia,Italy,Jul,83,63
Santiago,Ramón y Cajal,ES,ES,male,1906,medicine,2,Madrid University,Madrid,Spain,May,82,54
Alphonse,Laveran,FR,FR,male,1907,medicine,1,Institut Pasteur,Paris,France,Jun,77,62
Ilya,Mechnikov,UA,FR,male,1908,medicine,2,Institut Pasteur,Paris,France,May,71,63
Paul,Ehrlich,PL,DE,male,1908,medicine,2,Goettingen University,Göttingen,Germany,Mar,61,54
Theodor,Kocher,CH,CH,male,1909,medicine,1,Berne University,Bern,Switzerland,Aug,76,68
Albrecht,Kossel,DE,DE,male,1910,medicine,1,University of Heidelberg,Heidelberg,Germany,Sep,74,57
